Product Title,Product Price,Product Link
"Apple MacBook Air - 13.3"" Retina Display - Intel Core I3,8GB Ram - 256GB SSD 2020yr - Silver ,10th Gen","₦ 507,000",https://www.jumia.com.ng/apple-macbook-air-13.3-retina-display-intel-core-i38gb-ram-256gb-ssd-2020yr-silver-10th-gen-62109215.html
"Apple MacBook Pro 13"" Touch Bar / Touch ID 2.0GHz Intel Core I5 512GB/16GB(Mid 2020)","₦ 850,000",https://www.jumia.com.ng/macbook-pro-13-touch-bar-touch-id-2.0ghz-intel-core-i5-512gb16gbmid-2020-apple-mpg1566251.html
"Apple MacBook Air - 13.3"" Retina Display - Intel Core I3 8GB Ram - 256GB SSD 2020yr - Gray ,10th Gen","₦ 507,000",https://www.jumia.com.ng/apple-macbook-air-13.3-retina-display-intel-core-i3-8gb-ram-256gb-ssd-2020yr-gray-10th-gen-59178430.html
"Apple MacBook Intel Core™ M5 512GB SSD HDD 8GB RAM 12"" Retina (2304x1440) Bluetooth Mac OS 11.4 El Capitan Webcam GRAY","₦ 540,000",https://www.jumia.com.ng/apple-macbook-intel-coretm-m5-512gb-ssd-hdd-8gb-ram-12-retina-2304x1440-bluetooth-mac-os-11.4-el-capitan-webcam-gray-22195821.html
"Apple MacBook Air Intel Core I5 Dual Core 1.8GHz (8GB,128GB Flash) 13.3-Inch MAC OS Laptop - Silver","₦ 440,000",https://www.jumia.com.ng/apple-macbook-air-intel-core-i5-dual-core-1.8ghz-8gb128gb-flash-13.3-inch-mac-os-laptop-silver-22466054.html
Apple MacBook Pro 16inch Corei7/512GB/16gb - Touch Bar - New 2019,"₦ 980,000",https://www.jumia.com.ng/apple-macbook-pro-16inch-corei7512gb16gb-touch-bar-new-2019-53053164.html
"Apple MacBook Air 2020 13.3"" 256GB Core I3 1.1GHz 8gb Touch ID Space Gray","₦ 535,000",https://www.jumia.com.ng/apple-macbook-air-2020-13.3-256gb-core-i3-1.1ghz-8gb-touch-id-space-gray-65539692.html
Apple MacBook Pro 16inch CoreI7/512GB/16gb - Touch Bar - New 2019,"₦ 932,300",https://www.jumia.com.ng/apple-macbook-pro-16inch-corei7512gb16gb-touch-bar-new-2019-44684254.html
"Apple MacBook Pro 2019 Model (13-Inch, Intel Core I5, 1.4Ghz, 8GB, 256GB, Touch Bar MUHP2) Space Grey","₦ 729,000",https://www.jumia.com.ng/apple-macbook-pro-2019-model-13-inch-intel-core-i5-1.4ghz-8gb-256gb-touch-bar-muhp2-space-grey-64833942.html
"Apple MacBook Pro 13.3"" 256GB 8GB,1.4GHZ(Mid 2019, Space Gray)","₦ 640,000",https://www.jumia.com.ng/apple-macbook-pro-13.3-256gb-8gb1.4ghzmid-2019-space-gray-59178427.html
"Apple MacBook Pro - 16"" Touch Bar - Intel Core I9 - 16GB - AMD Radeon Pro 5500M - 1TB SSD - Space Gray","₦ 1,109,999",https://www.jumia.com.ng/apple-macbook-pro-16-touch-bar-intel-core-i9-16gb-amd-radeon-pro-5500m-1tb-ssd-space-gray-44864413.html
"Apple MacBook Pro 13.3"" 256GB 8GB Touchbar 1.4ghz (Mid 2019, Space Gray) CORE I5","₦ 658,079",https://www.jumia.com.ng/apple-macbook-pro-13.3-256gb-8gb-touchbar-1.4ghz-mid-2019-space-gray-core-i5-42536167.html
Apple MacBook Pro 13 Touch Bar And Touch ID MXK52 Core I5 512gb 8gb Mac OS (Space Grey),"₦ 780,000",https://www.jumia.com.ng/apple-macbook-pro-13-touch-bar-and-touch-id-mxk52-core-i5-512gb-8gb-mac-os-space-grey-64737292.html
"Apple MacBook Air 2020 13.3"" 256GB Core I5 1.1GHz MWTJ2 Touch ID Space Gray","₦ 520,000",https://www.jumia.com.ng/apple-macbook-air-2020-13.3-256gb-core-i5-1.1ghz-mwtj2-touch-id-space-gray-64737276.html
"Apple MacBook Pro 13.3"" 256GB 8GB Touchbar Core I5 1.4ghz (Mid 2019, Space Gray)","₦ 670,000",https://www.jumia.com.ng/apple-macbook-pro-13.3-256gb-8gb-touchbar-core-i5-1.4ghz-mid-2019-space-gray-64737262.html
"Apple MacBook Pro 13"" Touch Bar / Touch ID 2.0GHz Intel Core I5 1TB SSD(Mid 2020) -gray","₦ 990,000",https://www.jumia.com.ng/apple-macbook-pro-13-touch-bar-touch-id-2.0ghz-intel-core-i5-1tb-ssdmid-2020-gray-68045145.html
"Apple MACBOOK PRO (2020 EDITION) (8GB RAM, 256GB) -SPACE GRAY","₦ 675,000",https://www.jumia.com.ng/macbook-pro-2020-edition-8gb-ram-256gb-space-gray-apple-mpg1566250.html
Apple MacBook Air 2020 13-inch MVH22 I5 512GB 8GB (Space Gray),"₦ 670,000",https://www.jumia.com.ng/apple-macbook-air-2020-13-inch-mvh22-i5-512gb-8gb-space-gray-64737286.html
"Apple MacBook PRO MWP42 With Touch Bar 2020, Core I5, 13.3 Inch, RAM 16GB, 512GB SSD, Space Grey","₦ 930,000",https://www.jumia.com.ng/apple-macbook-pro-mwp42-with-touch-bar-2020-core-i5-13.3-inch-ram-16gb-512gb-ssd-space-grey-64833935.html
"Apple MacBook Air (13-inch, 8GB RAM, 512 GB SSD Storage) - Silver (Latest Model)","₦ 691,999",https://www.jumia.com.ng/apple-macbook-air-13-inch-8gb-ram-512-gb-ssd-storage-silver-latest-model-67999315.html
"Apple MacBook Air (13-inch, 8GB RAM, 512 GB SSD Storage) - Gold","₦ 702,999",https://www.jumia.com.ng/apple-macbook-air-13-inch-8gb-ram-512-gb-ssd-storage-gold-67999317.html
Apple MacBook Pro 13 Touch Bar Core I5 512gb 8gb (Space Grey),"₦ 760,000",https://www.jumia.com.ng/apple-macbook-pro-13-touch-bar-core-i5-512gb-8gb-space-grey-67942980.html
"Apple MacBook Air - 13.3"" Retina Display Core I5,8GB Ram - 512GB SSD 2020- Gold","₦ 680,000",https://www.jumia.com.ng/apple-macbook-air-13.3-retina-display-core-i58gb-ram-512gb-ssd-2020-gold-63031969.html
"Apple MacBook Air (13-inch, 8GB RAM, 256GB SSD Storage) - Gold (Latest Model)","₦ 544,999",https://www.jumia.com.ng/apple-macbook-air-13-inch-8gb-ram-256gb-ssd-storage-gold-latest-model-67655009.html
"Apple MacBook Pro 13"" 16GB /Touch Bar Touch ID 2.3GHz Intel Core I7 1TB SSD 2020","₦ 1,300,000",https://www.jumia.com.ng/apple-macbook-pro-13-16gb-touch-bar-touch-id-2.3ghz-intel-core-i7-1tb-ssd-2020-66115948.html
"Apple MacBook Pro With Touch Bar 16"" - Intel Core I9 - 16GB RAM - AMD Radeon Pro 5500M - 1TB SSD - Late 2019 Model - Space Gray","₦ 1,200,000",https://www.jumia.com.ng/apple-macbook-pro-with-touch-bar-16-intel-core-i9-16gb-ram-amd-radeon-pro-5500m-1tb-ssd-late-2019-model-space-gray-45448289.html
"Apple MacBook Intel Core M5 1.2 GHz Dual Core (512GB,8GB) 12-Inch Laptop - Space Grey","₦ 530,000",https://www.jumia.com.ng/macbook-intel-core-m5-1.2-ghz-dual-core-512gb8gb-12-inch-laptop-space-grey-apple-mpg263270.html
"Apple MacBook Pro,2.3GHZ 16inch Space Grey 1TB SSD 16GB RAM (Corei9) TouchBar - 2019","₦ 1,070,000",https://www.jumia.com.ng/apple-macbook-pro2.3ghz-16inch-space-grey-1tb-ssd-16gb-ram-corei9-touchbar-2019-58227607.html
"Apple MacBook Pro 13"" Space Gray Touch Bar / Touch ID 2.0GHz Intel Core I5 1TB SSD(Mid 2020) - MWP52LL/A","₦ 975,037",https://www.jumia.com.ng/apple-macbook-pro-13-space-gray-touch-bar-touch-id-2.0ghz-intel-core-i5-1tb-ssdmid-2020-mwp52lla-64291358.html
Apple 15.4” Macbook Pro Touch Bar 2.9GHZ 1TB 16GB Ram Core I9 (MUQH2LL/A),"₦ 1,450,000",https://www.jumia.com.ng/apple-15.4-macbook-pro-touch-bar-2.9ghz-1tb-16gb-ram-core-i9-muqh2lla-64836651.html
Apple MacBook Air 2020 13-inch MVH22 I5 512GB 8GB (Space Gray) 2020,"₦ 625,000",https://www.jumia.com.ng/apple-macbook-air-2020-13-inch-mvh22-i5-512gb-8gb-space-gray-2020-64938231.html
"Apple MacBook Pro With Touch Bar 13.3"" - Core I5, 1.4Ghz - 8GB RAM/128GB SSD ROM - Mac OS 2019 - Grey","₦ 650,000",https://www.jumia.com.ng/apple-macbook-pro-with-touch-bar-13.3-core-i5-1.4ghz-8gb-ram128gb-ssd-rom-mac-os-2019-grey-45471262.html
"Apple MacBook Pro 13"" Touch Bar / Touch ID 2.0GHz Intel Core I5 1TB SSD(Mid 2020) -Silver","₦ 925,000",https://www.jumia.com.ng/apple-macbook-pro-13-touch-bar-touch-id-2.0ghz-intel-core-i5-1tb-ssdmid-2020-silver-65886276.html
"Apple MacBook Pro With Touch Bar 13.3"" - Core I5, 1.4Ghz - 8GB RAM/512GB SSD ROM - Mac OS 2020","₦ 810,000",https://www.jumia.com.ng/apple-macbook-pro-with-touch-bar-13.3-core-i5-1.4ghz-8gb-ram512gb-ssd-rom-mac-os-2020-65694616.html
"Apple MacBook Pro,2.3GHZ 16inch Space Grey 1TB SSD 16GB RAM (Corei9) TouchBar - 2019","₦ 1,070,000",https://www.jumia.com.ng/apple-macbook-pro2.3ghz-16inch-space-grey-1tb-ssd-16gb-ram-corei9-touchbar-2019-60902767.html
"Apple MacBook Pro Touch Bar 13.3"" 128GB 8GB Touchbar 1.4ghz 2019, Space Gray And Silver CORE I5","₦ 650,000",https://www.jumia.com.ng/apple-macbook-pro-touch-bar-13.3-128gb-8gb-touchbar-1.4ghz-2019-space-gray-and-silver-core-i5-43489706.html
"Apple MacBook Air, Intel Core I5, 1.6GHz (8GB 256GB SSD) 13.3 - Inche, Mac 0S 2019 Edition - Grey","₦ 630,000",https://www.jumia.com.ng/apple-macbook-air-intel-core-i5-1.6ghz-8gb-256gb-ssd-13.3-inche-mac-0s-2019-edition-grey-45471256.html
Apple 15.4” Macbook Pro 2.3GHZ 512GB SSD 32GB Ram Core I9 Model 2019 Touch Bar (Z0WW0003F),"₦ 1,100,000",https://www.jumia.com.ng/apple-15.4-macbook-pro-2.3ghz-512gb-ssd-32gb-ram-core-i9-model-2019-touch-bar-z0ww0003f-64836629.html
"Apple MacBook Pro 16.0"" Screen, Touch Bar, 512GB 16GB CORE I7 6-CORE 2.6GHZ Mac Late 2019 Edition","₦ 1,150,000",https://www.jumia.com.ng/apple-macbook-pro-16.0-screen-touch-bar-512gb-16gb-core-i7-6-core-2.6ghz-mac-late-2019-edition-45448287.html
